Tick,FirmID,PlanOut,PotOut,InitOut,IntStock,SuppNum,SuppAvgP,IntPrc,CapStock,LabProd,EnLvl,SrvLvl,InvStock,InvVal,TotCost,AvgUC,UC,OutRat,OutDeliv,OutSold,Output,LstDelivMall,MallOrd,MallSold,MallStock
0,GER_FIRM_0001,0.00,0.00,60076.54,0.00,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,60078.54
0,GER_FIRM_0010,0.00,0.00,59913.74,0.00,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,59915.74
0,GER_FIRM_0100,0.00,0.00,66096.00,0.00,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,66098.00
1,GER_FIRM_0001,61578.46,44260714.29,60076.54,4306.34,0,0.00,1.00,4298314.28,14753.57,398245.35,4376312.42,0.00,0.00,20.30,0.46,0.46,1,44260.71,44260.71,44260.71,0.00,0.00,0.00,44260.71
1,GER_FIRM_0010,61411.59,51042134.99,59913.74,0.00,0,0.00,1.00,2707468.43,12760.53,251125.53,3336962.42,0.00,0.00,23.92,0.47,0.47,1,51042.13,51042.13,51042.13,0.00,0.00,0.00,51042.13
1,GER_FIRM_0100,67748.40,59014285.72,66096.00,3255.75,0,0.00,1.00,2986841.06,14753.57,219790.47,3779708.77,0.00,0.00,27.17,0.46,0.46,1,59014.29,59014.29,59014.29,0.00,0.00,0.00,59014.29
2,GER_FIRM_0001,91083.20,44260714.29,60076.54,22920.38,0,0.00,1.00,17706594.66,14753.57,2519995.90,16187391.41,0.00,0.00,20.36,0.46,0.46,1,44260.71,44260.71,44260.71,0.00,0.00,0.00,44260.71
2,GER_FIRM_0010,105490.50,10208427.00,59913.74,0.00,0,0.00,1.00,12153592.74,10208.43,35103.58,1690335.70,0.00,0.00,5.07,0.50,0.50,1,10208.43,10208.43,10208.43,0.00,0.00,0.00,10208.43
2,GER_FIRM_0100,91455.93,67101772.70,66096.00,19608.64,0,0.00,1.00,17025658.69,13420.35,2230882.96,14900543.13,0.00,0.00,31.50,0.47,0.47,1,67101.77,67101.77,67101.77,0.00,0.00,0.00,67101.77
3,GER_FIRM_0001,39940.57,44260714.29,60076.54,15034.92,0,0.00,1.00,55808889.73,13313.52,1674807.89,9744948.01,40.27,40.27,18.91,0.47,0.47,0,39940.57,39940.57,39940.57,0.00,0.00,0.00,19804.60
3,GER_FIRM_0010,52154.09,6125056.20,59913.74,0.00,0,0.00,1.00,22628567.86,6125.06,35103.58,702359.67,1.82,1.82,3.57,0.58,0.58,1,6125.06,6125.06,6125.06,0.00,0.00,0.00,5213.75
3,GER_FIRM_0100,38475.76,44260714.29,66096.00,12012.37,0,0.00,1.00,58568522.18,12825.25,1416692.00,8694374.70,55.24,55.24,18.46,0.48,0.48,0,38475.76,38475.76,38475.76,0.00,0.00,0.00,10855.52
4,GER_FIRM_0001,46068.28,44260714.29,60076.54,6296.52,0,0.00,1.00,93873082.50,14753.57,738200.75,2605662.52,39.16,39.16,20.75,0.47,0.47,1,44260.71,44260.71,44260.71,0.00,0.00,0.00,64951.16
4,GER_FIRM_0010,46362.21,5312059.21,59913.74,134.12,0,0.00,1.00,33354081.95,5312.06,462.26,0.00,3.64,3.64,3.32,0.62,0.62,1,5312.06,5312.06,5312.06,0.00,0.00,0.00,5315.60
4,GER_FIRM_0100,49566.75,44260714.29,66096.00,3273.97,0,0.00,1.00,100047092.46,14753.57,480084.87,1794393.93,47.94,47.94,20.87,0.47,0.47,1,44260.71,44260.71,44260.71,0.00,0.00,0.00,75530.73
5,GER_FIRM_0001,3003.83,16154065.39,60076.54,5703.48,0,0.00,1.00,131899211.08,750.96,674636.35,2121143.02,0.00,0.00,6.42,2.14,2.14,0,3003.83,3003.83,3003.83,0.00,0.00,0.00,65934.07
5,GER_FIRM_0010,2995.69,5312059.21,59913.74,457.32,0,0.00,1.00,45616449.50,2995.69,62929.90,483206.54,0.00,0.00,2.50,0.83,0.83,0,2995.69,2995.69,2995.69,0.00,0.00,0.00,6633.83
5,GER_FIRM_0100,3304.80,11124524.61,66096.00,2621.51,0,0.00,1.00,141603956.18,3304.80,410151.53,1261327.28,53.78,53.78,3.15,0.95,0.95,0,3304.80,3304.80,3304.80,0.00,0.00,0.00,63961.84
